[2024-01-31 06:48:43,439] [openicl.icl_retriever.icl_random_retriever] [INFO] Retrieving data for test set...
100%|██████████| 128/128 [03:19<00:00,  1.56s/it]
[2024-01-31 09:48:05,852] [openicl.icl_retriever.icl_random_retriever] [INFO] Retrieving data for test set...
[4, 3, 4, 3, 4, 3, 3, 3, 3, 2, 4, 4, 3, 3, 2, 2, 4, 2, 3, 3, 2, 2, 3, 2, 3, 2, 3, 2, 2, 3, 2, 3, 2, 3, 2, 2, 3, 4, 3, 3, 2, 2, 3, 2, 3, 2, 3, 3, 3, 2, 3, 3, 3, 4, 3, 2, 4, 2, 2, 4, 3, 3, 2, 3, 4, 4, 2, 3, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 2, 3, 2, 3, 4, 2, 2, 3, 3, 2, 3, 3, 2, 3, 3, 2, 3, 4, 3, 2, 3, 2, 2, 4, 3, 4, 3, 2, 3, 3, 2, 3, 3, 2, 3, 2, 3, 3, 4, 2, 3, 3, 3]
[1, 4, 4, 4, 1, 3, 3, 1, 3, 1, 4, 4, 3, 4, 4, 2, 4, 2, 4, 3, 2, 2, 3, 2, 4, 2, 3, 2, 2, 3, 1, 3, 2, 1, 2, 2, 4, 1, 1, 4, 1, 1, 3, 2, 1, 1, 4, 3, 1, 2, 3, 1, 3, 1, 3, 2, 4, 2, 2, 4, 3, 3, 2, 1, 4, 3, 2, 4, 3, 4, 1, 4, 2, 1, 1, 4, 1, 3, 4, 4, 4, 1, 4, 1, 3, 2, 3, 2, 4, 4, 2, 2, 1, 3, 2, 1, 1, 2, 4, 3, 2, 3, 4, 4, 1, 4, 2, 1, 4, 3, 4, 3, 2, 4, 1, 2, 3, 1, 2, 3, 2, 1, 3, 4, 2, 3, 3, 1]
Acc:  0.59375
F1:  0.5027687054050456

  0%|          | 0/128 [00:00<?, ?it/s]
  1%|          | 1/128 [00:00<00:25,  5.06it/s]
  4%|▍         | 5/128 [00:00<00:06, 19.13it/s]
 27%|██▋       | 34/128 [00:00<00:00, 118.54it/s]
 52%|█████▏    | 66/128 [00:00<00:00, 187.21it/s]
 77%|███████▋  | 98/128 [00:00<00:00, 229.97it/s]
100%|██████████| 128/128 [00:00<00:00, 251.63it/s]
100%|██████████| 128/128 [00:00<00:00, 180.63it/s]

  0%|          | 0/128 [00:00<?, ?it/s]
  1%|          | 1/128 [00:01<03:19,  1.57s/it]
  2%|▏         | 2/128 [00:03<03:19,  1.58s/it]
  2%|▏         | 3/128 [00:04<03:22,  1.62s/it]
  3%|▎         | 4/128 [00:06<03:30,  1.70s/it]
  4%|▍         | 5/128 [00:08<03:26,  1.68s/it]
  5%|▍         | 6/128 [00:09<03:15,  1.60s/it]
  5%|▌         | 7/128 [00:11<03:11,  1.58s/it]
  6%|▋         | 8/128 [00:13<03:16,  1.63s/it]
  7%|▋         | 9/128 [00:14<03:16,  1.65s/it]
  8%|▊         | 10/128 [00:16<03:15,  1.66s/it]
  9%|▊         | 11/128 [00:17<03:06,  1.60s/it]
  9%|▉         | 12/128 [00:19<03:00,  1.56s/it]
 10%|█         | 13/128 [00:20<02:59,  1.56s/it]
 11%|█         | 14/128 [00:22<02:56,  1.54s/it]
 12%|█▏        | 15/128 [00:23<02:54,  1.54s/it]
 12%|█▎        | 16/128 [00:25<02:53,  1.55s/it]
 13%|█▎        | 17/128 [00:27<02:54,  1.57s/it]
 14%|█▍        | 18/128 [00:28<02:56,  1.61s/it]
 15%|█▍        | 19/128 [00:30<02:53,  1.59s/it]
 16%|█▌        | 20/128 [00:31<02:49,  1.57s/it]
 16%|█▋        | 21/128 [00:33<02:57,  1.66s/it]
 17%|█▋        | 22/128 [00:35<02:51,  1.61s/it]
 18%|█▊        | 23/128 [00:36<02:50,  1.62s/it]
 19%|█▉        | 24/128 [00:38<02:48,  1.62s/it]
 20%|█▉        | 25/128 [00:40<02:46,  1.62s/it]
 20%|██        | 26/128 [00:41<02:43,  1.60s/it]
 21%|██        | 27/128 [00:43<02:40,  1.59s/it]
 22%|██▏       | 28/128 [00:44<02:39,  1.60s/it]
 23%|██▎       | 29/128 [00:46<02:39,  1.61s/it]
 23%|██▎       | 30/128 [00:48<02:34,  1.58s/it]
 24%|██▍       | 31/128 [00:49<02:30,  1.55s/it]
 25%|██▌       | 32/128 [00:51<02:28,  1.55s/it]
 26%|██▌       | 33/128 [00:52<02:29,  1.58s/it]
 27%|██▋       | 34/128 [00:54<02:30,  1.60s/it]
 27%|██▋       | 35/128 [00:55<02:26,  1.57s/it]
 28%|██▊       | 36/128 [00:57<02:24,  1.57s/it]
 29%|██▉       | 37/128 [00:58<02:21,  1.55s/it]
 30%|██▉       | 38/128 [01:00<02:18,  1.54s/it]
 30%|███       | 39/128 [01:01<02:15,  1.52s/it]
 31%|███▏      | 40/128 [01:03<02:13,  1.52s/it]
 32%|███▏      | 41/128 [01:04<02:12,  1.52s/it]
 33%|███▎      | 42/128 [01:06<02:13,  1.55s/it]
 34%|███▎      | 43/128 [01:08<02:12,  1.56s/it]
 34%|███▍      | 44/128 [01:09<02:10,  1.55s/it]
 35%|███▌      | 45/128 [01:11<02:09,  1.56s/it]
 36%|███▌      | 46/128 [01:12<02:10,  1.59s/it]
 37%|███▋      | 47/128 [01:14<02:12,  1.64s/it]
 38%|███▊      | 48/128 [01:16<02:09,  1.62s/it]
 38%|███▊      | 49/128 [01:17<02:07,  1.62s/it]
 39%|███▉      | 50/128 [01:19<02:13,  1.71s/it]
 40%|███▉      | 51/128 [01:21<02:10,  1.70s/it]
 41%|████      | 52/128 [01:23<02:08,  1.69s/it]
 41%|████▏     | 53/128 [01:24<02:06,  1.68s/it]
 42%|████▏     | 54/128 [01:26<02:05,  1.69s/it]
 43%|████▎     | 55/128 [01:28<02:00,  1.65s/it]
 44%|████▍     | 56/128 [01:29<01:57,  1.63s/it]
 45%|████▍     | 57/128 [01:31<01:55,  1.63s/it]
 45%|████▌     | 58/128 [01:32<01:54,  1.63s/it]
 46%|████▌     | 59/128 [01:34<01:50,  1.60s/it]
 47%|████▋     | 60/128 [01:36<01:50,  1.62s/it]
 48%|████▊     | 61/128 [01:37<01:51,  1.66s/it]
 48%|████▊     | 62/128 [01:39<01:48,  1.65s/it]
 49%|████▉     | 63/128 [01:40<01:43,  1.59s/it]
 50%|█████     | 64/128 [01:42<01:40,  1.57s/it]
 51%|█████     | 65/128 [01:44<01:38,  1.57s/it]
 52%|█████▏    | 66/128 [01:45<01:36,  1.55s/it]
 52%|█████▏    | 67/128 [01:47<01:35,  1.57s/it]
 53%|█████▎    | 68/128 [01:48<01:33,  1.55s/it]
 54%|█████▍    | 69/128 [01:50<01:32,  1.58s/it]
 55%|█████▍    | 70/128 [01:51<01:32,  1.60s/it]
 55%|█████▌    | 71/128 [01:53<01:29,  1.57s/it]
 56%|█████▋    | 72/128 [01:55<01:28,  1.59s/it]
 57%|█████▋    | 73/128 [01:56<01:27,  1.59s/it]
 58%|█████▊    | 74/128 [01:58<01:24,  1.57s/it]
 59%|█████▊    | 75/128 [01:59<01:23,  1.58s/it]
 59%|█████▉    | 76/128 [02:01<01:21,  1.57s/it]
 60%|██████    | 77/128 [02:02<01:19,  1.55s/it]
 61%|██████    | 78/128 [02:04<01:18,  1.56s/it]
 62%|██████▏   | 79/128 [02:06<01:18,  1.60s/it]
 62%|██████▎   | 80/128 [02:07<01:17,  1.61s/it]
 63%|██████▎   | 81/128 [02:09<01:15,  1.61s/it]
 64%|██████▍   | 82/128 [02:11<01:14,  1.62s/it]
 65%|██████▍   | 83/128 [02:12<01:13,  1.63s/it]
 66%|██████▌   | 84/128 [02:14<01:10,  1.61s/it]
 66%|██████▋   | 85/128 [02:15<01:09,  1.62s/it]
 67%|██████▋   | 86/128 [02:17<01:07,  1.62s/it]
 68%|██████▊   | 87/128 [02:19<01:06,  1.61s/it]
 69%|██████▉   | 88/128 [02:20<01:03,  1.58s/it]
 70%|██████▉   | 89/128 [02:22<01:01,  1.57s/it]
 70%|███████   | 90/128 [02:23<00:58,  1.54s/it]
 71%|███████   | 91/128 [02:25<00:55,  1.51s/it]
 72%|███████▏  | 92/128 [02:26<00:55,  1.53s/it]
 73%|███████▎  | 93/128 [02:28<00:53,  1.52s/it]
 73%|███████▎  | 94/128 [02:29<00:52,  1.56s/it]
 74%|███████▍  | 95/128 [02:31<00:50,  1.54s/it]
 75%|███████▌  | 96/128 [02:32<00:50,  1.56s/it]
 76%|███████▌  | 97/128 [02:34<00:49,  1.58s/it]
 77%|███████▋  | 98/128 [02:36<00:47,  1.59s/it]
 77%|███████▋  | 99/128 [02:37<00:45,  1.58s/it]
 78%|███████▊  | 100/128 [02:39<00:43,  1.54s/it]
 79%|███████▉  | 101/128 [02:40<00:41,  1.55s/it]
 80%|███████▉  | 102/128 [02:42<00:40,  1.57s/it]
 80%|████████  | 103/128 [02:43<00:39,  1.57s/it]
 81%|████████▏ | 104/128 [02:45<00:37,  1.56s/it]
 82%|████████▏ | 105/128 [02:47<00:36,  1.58s/it]
 83%|████████▎ | 106/128 [02:48<00:34,  1.56s/it]
 84%|████████▎ | 107/128 [02:50<00:32,  1.54s/it]
 84%|████████▍ | 108/128 [02:51<00:30,  1.52s/it]
 85%|████████▌ | 109/128 [02:53<00:29,  1.57s/it]
 86%|████████▌ | 110/128 [02:54<00:27,  1.54s/it]
 87%|████████▋ | 111/128 [02:56<00:26,  1.55s/it]
 88%|████████▊ | 112/128 [02:57<00:24,  1.54s/it]
 88%|████████▊ | 113/128 [02:59<00:23,  1.55s/it]
 89%|████████▉ | 114/128 [03:00<00:22,  1.57s/it]
 90%|████████▉ | 115/128 [03:02<00:20,  1.58s/it]
 91%|█████████ | 116/128 [03:04<00:19,  1.60s/it]
 91%|█████████▏| 117/128 [03:05<00:17,  1.58s/it]
 92%|█████████▏| 118/128 [03:07<00:15,  1.60s/it]
 93%|█████████▎| 119/128 [03:09<00:14,  1.60s/it]
 94%|█████████▍| 120/128 [03:10<00:13,  1.65s/it]
 95%|█████████▍| 121/128 [03:12<00:11,  1.62s/it]
 95%|█████████▌| 122/128 [03:13<00:09,  1.63s/it]
 96%|█████████▌| 123/128 [03:15<00:08,  1.63s/it]
 97%|█████████▋| 124/128 [03:17<00:06,  1.60s/it]
 98%|█████████▊| 125/128 [03:18<00:04,  1.63s/it]
 98%|█████████▊| 126/128 [03:20<00:03,  1.59s/it]
 99%|█████████▉| 127/128 [03:22<00:01,  1.63s/it]
100%|██████████| 128/128 [03:23<00:00,  1.63s/it]
100%|██████████| 128/128 [03:23<00:00,  1.59s/it]
[2024-01-31 09:52:25,237] [openicl.icl_retriever.icl_random_retriever] [INFO] Retrieving data for test set...
[3, 3, 3, 3, 2, 3, 3, 3, 3, 2, 3, 3, 3, 3, 2, 2, 4, 2, 3, 3, 2, 2, 3, 2, 3, 2, 3, 2, 2, 3, 3, 3, 2, 3, 2, 2, 3, 3, 2, 3, 3, 2, 3, 2, 2, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 2, 3, 2, 2, 2, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 2, 3, 2, 3, 4, 2, 2, 3, 3, 2, 3, 3, 2, 3, 3, 2, 3, 3, 3, 2, 3, 2, 2, 3, 3, 4, 3, 2, 3, 2, 2, 3, 3, 2, 3, 2, 2, 3, 4, 2, 3, 3, 2]
[1, 4, 4, 4, 1, 3, 3, 1, 3, 1, 4, 4, 3, 4, 4, 2, 4, 2, 4, 3, 2, 2, 3, 2, 4, 2, 3, 2, 2, 3, 1, 3, 2, 1, 2, 2, 4, 1, 1, 4, 1, 1, 3, 2, 1, 1, 4, 3, 1, 2, 3, 1, 3, 1, 3, 2, 4, 2, 2, 4, 3, 3, 2, 1, 4, 3, 2, 4, 3, 4, 1, 4, 2, 1, 1, 4, 1, 3, 4, 4, 4, 1, 4, 1, 3, 2, 3, 2, 4, 4, 2, 2, 1, 3, 2, 1, 1, 2, 4, 3, 2, 3, 4, 4, 1, 4, 2, 1, 4, 3, 4, 3, 2, 4, 1, 2, 3, 1, 2, 3, 2, 1, 3, 4, 2, 3, 3, 1]
Acc:  0.53125
F1:  0.4140966067571572

  0%|          | 0/128 [00:00<?, ?it/s]
 23%|██▎       | 30/128 [00:00<00:00, 298.39it/s]
 48%|████▊     | 62/128 [00:00<00:00, 309.95it/s]
 73%|███████▎  | 93/128 [00:00<00:00, 301.12it/s]
 97%|█████████▋| 124/128 [00:00<00:00, 301.44it/s]
100%|██████████| 128/128 [00:00<00:00, 302.05it/s]

  0%|          | 0/128 [00:00<?, ?it/s]
  1%|          | 1/128 [00:01<03:10,  1.50s/it]
  2%|▏         | 2/128 [00:03<03:11,  1.52s/it]
  2%|▏         | 3/128 [00:04<03:11,  1.54s/it]
  3%|▎         | 4/128 [00:06<03:05,  1.50s/it]
  4%|▍         | 5/128 [00:07<03:10,  1.55s/it]
  5%|▍         | 6/128 [00:09<03:12,  1.58s/it]
  5%|▌         | 7/128 [00:10<03:12,  1.59s/it]
  6%|▋         | 8/128 [00:12<03:17,  1.65s/it]
  7%|▋         | 9/128 [00:14<03:13,  1.62s/it]
  8%|▊         | 10/128 [00:15<03:05,  1.57s/it]
  9%|▊         | 11/128 [00:17<03:00,  1.55s/it]
  9%|▉         | 12/128 [00:18<02:58,  1.54s/it]
 10%|█         | 13/128 [00:20<02:59,  1.56s/it]
 11%|█         | 14/128 [00:21<02:59,  1.58s/it]
 12%|█▏        | 15/128 [00:23<02:58,  1.58s/it]
 12%|█▎        | 16/128 [00:25<02:57,  1.59s/it]
 13%|█▎        | 17/128 [00:26<02:52,  1.55s/it]
 14%|█▍        | 18/128 [00:28<02:49,  1.55s/it]
 15%|█▍        | 19/128 [00:29<02:50,  1.57s/it]
 16%|█▌        | 20/128 [00:31<02:48,  1.56s/it]
 16%|█▋        | 21/128 [00:32<02:46,  1.56s/it]
 17%|█▋        | 22/128 [00:34<02:43,  1.54s/it]
 18%|█▊        | 23/128 [00:36<02:46,  1.59s/it]
 19%|█▉        | 24/128 [00:37<02:42,  1.56s/it]
 20%|█▉        | 25/128 [00:39<02:43,  1.59s/it]
 20%|██        | 26/128 [00:40<02:47,  1.65s/it]
 21%|██        | 27/128 [00:42<02:40,  1.59s/it]
 22%|██▏       | 28/128 [00:44<02:40,  1.61s/it]
 23%|██▎       | 29/128 [00:45<02:36,  1.58s/it]
 23%|██▎       | 30/128 [00:47<02:31,  1.55s/it]
 24%|██▍       | 31/128 [00:48<02:32,  1.57s/it]
 25%|██▌       | 32/128 [00:50<02:33,  1.59s/it]
 26%|██▌       | 33/128 [00:51<02:33,  1.61s/it]
 27%|██▋       | 34/128 [00:53<02:30,  1.60s/it]
 27%|██▋       | 35/128 [00:55<02:37,  1.69s/it]
 28%|██▊       | 36/128 [00:57<02:37,  1.71s/it]
 29%|██▉       | 37/128 [00:58<02:33,  1.69s/it]
 30%|██▉       | 38/128 [01:00<02:28,  1.65s/it]
 30%|███       | 39/128 [01:02<02:26,  1.65s/it]
 31%|███▏      | 40/128 [01:03<02:20,  1.59s/it]
 32%|███▏      | 41/128 [01:05<02:17,  1.58s/it]
 33%|███▎      | 42/128 [01:06<02:16,  1.59s/it]
 34%|███▎      | 43/128 [01:08<02:15,  1.60s/it]
 34%|███▍      | 44/128 [01:09<02:13,  1.59s/it]
 35%|███▌      | 45/128 [01:11<02:13,  1.61s/it]
 36%|███▌      | 46/128 [01:13<02:11,  1.60s/it]
 37%|███▋      | 47/128 [01:14<02:07,  1.58s/it]
 38%|███▊      | 48/128 [01:16<02:05,  1.57s/it]
 38%|███▊      | 49/128 [01:17<02:04,  1.58s/it]
 39%|███▉      | 50/128 [01:19<02:04,  1.59s/it]
 40%|███▉      | 51/128 [01:21<02:03,  1.60s/it]
 41%|████      | 52/128 [01:22<02:02,  1.61s/it]
 41%|████▏     | 53/128 [01:24<01:58,  1.58s/it]
 42%|████▏     | 54/128 [01:25<01:56,  1.57s/it]
 43%|████▎     | 55/128 [01:27<01:52,  1.54s/it]
 44%|████▍     | 56/128 [01:28<01:52,  1.56s/it]
 45%|████▍     | 57/128 [01:30<01:52,  1.58s/it]
 45%|████▌     | 58/128 [01:32<01:50,  1.58s/it]
 46%|████▌     | 59/128 [01:33<01:48,  1.58s/it]
 47%|████▋     | 60/128 [01:35<01:48,  1.59s/it]
 48%|████▊     | 61/128 [01:36<01:45,  1.57s/it]
 48%|████▊     | 62/128 [01:38<01:44,  1.58s/it]
 49%|████▉     | 63/128 [01:39<01:42,  1.58s/it]
 50%|█████     | 64/128 [01:41<01:45,  1.65s/it]
 51%|█████     | 65/128 [01:43<01:42,  1.63s/it]
 52%|█████▏    | 66/128 [01:44<01:38,  1.59s/it]
 52%|█████▏    | 67/128 [01:46<01:36,  1.58s/it]
 53%|█████▎    | 68/128 [01:47<01:33,  1.57s/it]
 54%|█████▍    | 69/128 [01:49<01:33,  1.59s/it]
 55%|█████▍    | 70/128 [01:51<01:31,  1.58s/it]
 55%|█████▌    | 71/128 [01:52<01:31,  1.60s/it]
 56%|█████▋    | 72/128 [01:54<01:27,  1.56s/it]
 57%|█████▋    | 73/128 [01:55<01:25,  1.55s/it]
 58%|█████▊    | 74/128 [01:57<01:23,  1.54s/it]
 59%|█████▊    | 75/128 [01:58<01:21,  1.54s/it]
 59%|█████▉    | 76/128 [02:00<01:20,  1.55s/it]
 60%|██████    | 77/128 [02:01<01:18,  1.55s/it]
 61%|██████    | 78/128 [02:03<01:16,  1.53s/it]
 62%|██████▏   | 79/128 [02:04<01:14,  1.52s/it]
 62%|██████▎   | 80/128 [02:06<01:14,  1.55s/it]
 63%|██████▎   | 81/128 [02:08<01:13,  1.57s/it]
 64%|██████▍   | 82/128 [02:09<01:13,  1.60s/it]
 65%|██████▍   | 83/128 [02:11<01:11,  1.58s/it]
 66%|██████▌   | 84/128 [02:12<01:09,  1.57s/it]
 66%|██████▋   | 85/128 [02:14<01:07,  1.56s/it]
 67%|██████▋   | 86/128 [02:16<01:06,  1.57s/it]
 68%|██████▊   | 87/128 [02:17<01:05,  1.59s/it]
 69%|██████▉   | 88/128 [02:19<01:03,  1.59s/it]
 70%|██████▉   | 89/128 [02:20<01:00,  1.56s/it]
 70%|███████   | 90/128 [02:22<00:58,  1.55s/it]
 71%|███████   | 91/128 [02:23<00:57,  1.54s/it]
 72%|███████▏  | 92/128 [02:25<00:55,  1.54s/it]
 73%|███████▎  | 93/128 [02:27<00:56,  1.61s/it]
 73%|███████▎  | 94/128 [02:28<00:53,  1.58s/it]
 74%|███████▍  | 95/128 [02:30<00:51,  1.56s/it]
 75%|███████▌  | 96/128 [02:31<00:49,  1.56s/it]
 76%|███████▌  | 97/128 [02:33<00:48,  1.56s/it]
 77%|███████▋  | 98/128 [02:34<00:47,  1.57s/it]
 77%|███████▋  | 99/128 [02:36<00:45,  1.57s/it]
 78%|███████▊  | 100/128 [02:38<00:44,  1.59s/it]
 79%|███████▉  | 101/128 [02:39<00:42,  1.57s/it]
 80%|███████▉  | 102/128 [02:41<00:41,  1.60s/it]
 80%|████████  | 103/128 [02:42<00:39,  1.60s/it]
 81%|████████▏ | 104/128 [02:44<00:38,  1.59s/it]
 82%|████████▏ | 105/128 [02:45<00:36,  1.57s/it]
 83%|████████▎ | 106/128 [02:47<00:34,  1.56s/it]
 84%|████████▎ | 107/128 [02:48<00:32,  1.55s/it]
 84%|████████▍ | 108/128 [02:50<00:31,  1.55s/it]
 85%|████████▌ | 109/128 [02:52<00:29,  1.55s/it]
 86%|████████▌ | 110/128 [02:53<00:27,  1.53s/it]
 87%|████████▋ | 111/128 [02:55<00:25,  1.52s/it]
 88%|████████▊ | 112/128 [02:56<00:24,  1.56s/it]
 88%|████████▊ | 113/128 [02:58<00:24,  1.61s/it]
 89%|████████▉ | 114/128 [03:00<00:22,  1.63s/it]
 90%|████████▉ | 115/128 [03:01<00:20,  1.59s/it]
 91%|█████████ | 116/128 [03:03<00:18,  1.55s/it]
 91%|█████████▏| 117/128 [03:04<00:16,  1.54s/it]
 92%|█████████▏| 118/128 [03:06<00:15,  1.52s/it]
 93%|█████████▎| 119/128 [03:07<00:13,  1.53s/it]
 94%|█████████▍| 120/128 [03:09<00:12,  1.56s/it]
 95%|█████████▍| 121/128 [03:10<00:10,  1.54s/it]
 95%|█████████▌| 122/128 [03:12<00:09,  1.55s/it]
 96%|█████████▌| 123/128 [03:14<00:08,  1.61s/it]
 97%|█████████▋| 124/128 [03:15<00:06,  1.57s/it]
 98%|█████████▊| 125/128 [03:17<00:04,  1.59s/it]
 98%|█████████▊| 126/128 [03:18<00:03,  1.58s/it]
 99%|█████████▉| 127/128 [03:20<00:01,  1.57s/it]
100%|██████████| 128/128 [03:21<00:00,  1.60s/it]
100%|██████████| 128/128 [03:21<00:00,  1.58s/it]
[2024-01-31 09:56:49,939] [openicl.icl_retriever.icl_random_retriever] [INFO] Retrieving data for test set...
[2, 3, 4, 3, 4, 3, 3, 2, 3, 4, 4, 4, 3, 3, 4, 2, 4, 2, 3, 3, 2, 2, 3, 2, 3, 2, 3, 2, 2, 3, 3, 3, 2, 3, 2, 2, 3, 3, 2, 3, 3, 4, 3, 2, 3, 2, 4, 3, 3, 2, 3, 4, 3, 4, 3, 2, 4, 2, 2, 4, 3, 3, 2, 4, 4, 4, 2, 3, 3, 3, 3, 3, 2, 4, 2, 3, 4, 3, 3, 4, 4, 3, 3, 3, 3, 2, 3, 2, 3, 4, 2, 2, 3, 3, 2, 3, 3, 2, 3, 3, 2, 3, 4, 3, 2, 3, 2, 4, 4, 3, 4, 3, 2, 3, 4, 2, 3, 3, 2, 3, 2, 2, 3, 4, 2, 3, 3, 2]
[1, 4, 4, 4, 1, 3, 3, 1, 3, 1, 4, 4, 3, 4, 4, 2, 4, 2, 4, 3, 2, 2, 3, 2, 4, 2, 3, 2, 2, 3, 1, 3, 2, 1, 2, 2, 4, 1, 1, 4, 1, 1, 3, 2, 1, 1, 4, 3, 1, 2, 3, 1, 3, 1, 3, 2, 4, 2, 2, 4, 3, 3, 2, 1, 4, 3, 2, 4, 3, 4, 1, 4, 2, 1, 1, 4, 1, 3, 4, 4, 4, 1, 4, 1, 3, 2, 3, 2, 4, 4, 2, 2, 1, 3, 2, 1, 1, 2, 4, 3, 2, 3, 4, 4, 1, 4, 2, 1, 4, 3, 4, 3, 2, 4, 1, 2, 3, 1, 2, 3, 2, 1, 3, 4, 2, 3, 3, 1]
Acc:  0.609375
F1:  0.5164132414666983

  0%|          | 0/128 [00:00<?, ?it/s]
 24%|██▍       | 31/128 [00:00<00:00, 303.18it/s]
 48%|████▊     | 62/128 [00:00<00:00, 303.77it/s]
 73%|███████▎  | 93/128 [00:00<00:00, 301.97it/s]
 97%|█████████▋| 124/128 [00:00<00:00, 294.70it/s]
100%|██████████| 128/128 [00:00<00:00, 298.35it/s]

  0%|          | 0/128 [00:00<?, ?it/s]
  1%|          | 1/128 [00:01<03:23,  1.60s/it]
  2%|▏         | 2/128 [00:03<03:16,  1.56s/it]
  2%|▏         | 3/128 [00:04<03:10,  1.52s/it]
  3%|▎         | 4/128 [00:06<03:22,  1.63s/it]
  4%|▍         | 5/128 [00:08<03:24,  1.66s/it]
  5%|▍         | 6/128 [00:09<03:17,  1.62s/it]
  5%|▌         | 7/128 [00:11<03:16,  1.62s/it]
  6%|▋         | 8/128 [00:12<03:08,  1.57s/it]
  7%|▋         | 9/128 [00:14<03:09,  1.59s/it]
  8%|▊         | 10/128 [00:15<03:03,  1.56s/it]
  9%|▊         | 11/128 [00:17<03:04,  1.58s/it]
  9%|▉         | 12/128 [00:19<03:01,  1.56s/it]
 10%|█         | 13/128 [00:20<03:02,  1.59s/it]
 11%|█         | 14/128 [00:22<03:05,  1.63s/it]
 12%|█▏        | 15/128 [00:24<03:03,  1.63s/it]
 12%|█▎        | 16/128 [00:25<03:01,  1.62s/it]
 13%|█▎        | 17/128 [00:27<02:59,  1.61s/it]
 14%|█▍        | 18/128 [00:28<02:58,  1.62s/it]
 15%|█▍        | 19/128 [00:30<02:57,  1.63s/it]
 16%|█▌        | 20/128 [00:32<02:54,  1.62s/it]
 16%|█▋        | 21/128 [00:33<02:52,  1.62s/it]
 17%|█▋        | 22/128 [00:35<02:54,  1.65s/it]
 18%|█▊        | 23/128 [00:36<02:49,  1.61s/it]
 19%|█▉        | 24/128 [00:38<02:46,  1.60s/it]
 20%|█▉        | 25/128 [00:40<02:44,  1.60s/it]
 20%|██        | 26/128 [00:41<02:41,  1.58s/it]
 21%|██        | 27/128 [00:43<02:40,  1.59s/it]
 22%|██▏       | 28/128 [00:44<02:37,  1.58s/it]
 23%|██▎       | 29/128 [00:46<02:37,  1.59s/it]
 23%|██▎       | 30/128 [00:47<02:33,  1.57s/it]
 24%|██▍       | 31/128 [00:49<02:30,  1.56s/it]
 25%|██▌       | 32/128 [00:50<02:26,  1.52s/it]
